HANDLE	BLOCKNAME	LAYER	DEVICE	LINE1	LINE2	LINE3	MAX	MIN	{DYNPARAM} Visibility1	VOLTS	DROP	DIFF	DIST
'71F7865	Fault_Currents	_Fault Currents	R52	<>	<>	<>	600	141	Wipeout ON	<>	<>	<>	<>
'71F7884	Load_Currents	_Currents	R18457	C5.8			<>	<>	<>	<>	<>	<>	<>
'71F789E	Fault_Currents	_Fault Currents	R18457	<>	<>	<>	605	147	Wipeout ON	<>	<>	<>	<>
'71F78BD	Load_Currents	_Currents	R51	A2.3	B1.9		<>	<>	<>	<>	<>	<>	<>
'71F78D7	Fault_Currents	_Fault Currents	R51	<>	<>	<>	922	157	Wipeout ON	<>	<>	<>	<>
'71F7900	Load_Currents	_Currents	R6759	A12.2	B9.3	C9.2	<>	<>	<>	<>	<>	<>	<>
'71F791A	Fault_Currents	_Fault Currents	R6759	<>	<>	<>	622	140	Wipeout ON	<>	<>	<>	<>
'7201C4D	Load_Currents	_Currents	R14833	B8.5			<>	<>	<>	<>	<>	<>	<>
'7201C67	Fault_Currents	_Fault Currents	R14833	<>	<>	<>	280	115	Wipeout ON	<>	<>	<>	<>
'7201C90	Voltage_Box	_Voltages	RG44682	<>	<>	<>	<>	<>	Wipeout On	120.3	5.7	5.7	8.3
'7201CB9	Load_Currents	_Currents	R14834	C1.1			<>	<>	<>	<>	<>	<>	<>
'7201CD3	Fault_Currents	_Fault Currents	R14834	<>	<>	<>	153	87	Wipeout ON	<>	<>	<>	<>
'7201CF2	Load_Currents	_Currents	R42	A9.4	B12.7	C3.9	<>	<>	<>	<>	<>	<>	<>
'7201D0C	Fault_Currents	_Fault Currents	R42	<>	<>	<>	274	106	Wipeout ON	<>	<>	<>	<>
'7201D2B	Load_Currents	_Currents	R41	C27.2			<>	<>	<>	<>	<>	<>	<>
'7201D45	Fault_Currents	_Fault Currents	R41	<>	<>	<>	250	111	Wipeout ON	<>	<>	<>	<>
'7201D64	Voltage_Box	_Voltages	PC59678	<>	<>	<>	<>	<>	Wipeout On	119.1	8.1	6.3	10.2
'7201D8D	Load_Currents	_Currents	R20864	B12.3			<>	<>	<>	<>	<>	<>	<>
'7201DA7	Fault_Currents	_Fault Currents	R20864	<>	<>	<>	535	151	Wipeout ON	<>	<>	<>	<>
'7201DCC	Load_Currents	_Currents	R2702	A18.2	B31.1	C40.7	<>	<>	<>	<>	<>	<>	<>
'7201DE6	Fault_Currents	_Fault Currents	R2702	<>	<>	<>	1036	165	Wipeout ON	<>	<>	<>	<>
'7201E0E	Voltage_Box	_Voltages	PC124274	<>	<>	<>	<>	<>	Wipeout On	124.8	1.2	1.0	4.1
