HANDLE	BLOCKNAME	LAYER	DEVICE	LINE1	LINE2	LINE3	MAX	MIN	{DYNPARAM} Visibility1	VOLTS	DROP	DIFF	DIST
'7CFAC2F	Load_Currents	_Currents	SECT12195	A14.3	B9.3		<>	<>	<>	<>	<>	<>	<>
'7CFAC4E	Fault_Currents	_Fault Currents	SECT12195	<>	<>	<>	0	9	Wipeout ON	<>	<>	<>	<>
'7CFAC71	Load_Currents	_Currents	SECT10919	A7.7	B9.1	C2.8	<>	<>	<>	<>	<>	<>	<>
'7CFAC90	Fault_Currents	_Fault Currents	SECT10919	<>	<>	<>	2	9	Wipeout ON	<>	<>	<>	<>
'7CFACA9	Load_Currents	_Currents	SECT10385	A13.6	B8.7		<>	<>	<>	<>	<>	<>	<>
'7CFACC8	Fault_Currents	_Fault Currents	SECT10385	<>	<>	<>	0	8	Wipeout ON	<>	<>	<>	<>
'7CFACEB	Load_Currents	_Currents	SECT10691	A15.5	B11.4		<>	<>	<>	<>	<>	<>	<>
'7CFAD0A	Fault_Currents	_Fault Currents	SECT10691	<>	<>	<>	0	11	Wipeout ON	<>	<>	<>	<>
'7CFAD37	Load_Currents	_Currents	SECT16645	A1.1	B6.4		<>	<>	<>	<>	<>	<>	<>
'7CFAD56	Fault_Currents	_Fault Currents	SECT16645	<>	<>	<>	0	6	Wipeout ON	<>	<>	<>	<>
'7CFAD6F	Load_Currents	_Currents	SECT17055	A1.6	B4.6		<>	<>	<>	<>	<>	<>	<>
'7CFAD8E	Fault_Currents	_Fault Currents	SECT17055	<>	<>	<>	0	4	Wipeout ON	<>	<>	<>	<>
'7CFADBB	Load_Currents	_Currents	SECT14477	A0.1	B1.0	C6.2	<>	<>	<>	<>	<>	<>	<>
'7CFADDA	Fault_Currents	_Fault Currents	SECT14477	<>	<>	<>	6	1	Wipeout ON	<>	<>	<>	<>
'7CFADFD	Load_Currents	_Currents	SECT14707	A1.0	B3.9		<>	<>	<>	<>	<>	<>	<>
'7CFAE1C	Fault_Currents	_Fault Currents	SECT14707	<>	<>	<>	0	3	Wipeout ON	<>	<>	<>	<>
'7CFAE35	Load_Currents	_Currents	SECT14711	A1.0	B3.9		<>	<>	<>	<>	<>	<>	<>
'7CFAE54	Fault_Currents	_Fault Currents	SECT14711	<>	<>	<>	0	3	Wipeout ON	<>	<>	<>	<>
'7CFAE80	Load_Currents	_Currents	SECT14936	A4.5	B14.9		<>	<>	<>	<>	<>	<>	<>
'7CFAE9F	Fault_Currents	_Fault Currents	SECT14936	<>	<>	<>	0	14	Wipeout ON	<>	<>	<>	<>
'7CFAEC8	Load_Currents	_Currents	SECT16061	A6.3	B15.3	C4.0	<>	<>	<>	<>	<>	<>	<>
'7CFAEE7	Fault_Currents	_Fault Currents	SECT16061	<>	<>	<>	4	15	Wipeout ON	<>	<>	<>	<>
'7CFAF09	Load_Currents	_Currents	SECT15905	A9.3	B13.5		<>	<>	<>	<>	<>	<>	<>
'7CFAF28	Fault_Currents	_Fault Currents	SECT15905	<>	<>	<>	0	13	Wipeout ON	<>	<>	<>	<>
'7D10F45	Load_Currents	_Currents	SECT09675	A3.0	B12.2		<>	<>	<>	<>	<>	<>	<>
'7D10F64	Fault_Currents	_Fault Currents	SECT09675	<>	<>	<>	0	12	Wipeout ON	<>	<>	<>	<>
'7D10F7D	Load_Currents	_Currents	SECT11262	A9.5	B14.9		<>	<>	<>	<>	<>	<>	<>
'7D10F9C	Fault_Currents	_Fault Currents	SECT11262	<>	<>	<>	0	14	Wipeout ON	<>	<>	<>	<>
'7D11008	Load_Currents	_Currents	SECT13007	A3.1	B10.5		<>	<>	<>	<>	<>	<>	<>
'7D11027	Fault_Currents	_Fault Currents	SECT13007	<>	<>	<>	0	10	Wipeout ON	<>	<>	<>	<>
'7D11082	Load_Currents	_Currents	SECT06399	A10.8	B14.3		<>	<>	<>	<>	<>	<>	<>
'7D110A1	Fault_Currents	_Fault Currents	SECT06399	<>	<>	<>	0	14	Wipeout ON	<>	<>	<>	<>
'7D110BA	Load_Currents	_Currents	SECT04632	A9.9	B12.0	C9.9	<>	<>	<>	<>	<>	<>	<>
'7D110D9	Fault_Currents	_Fault Currents	SECT04632	<>	<>	<>	9	12	Wipeout ON	<>	<>	<>	<>
'7D11122	Load_Currents	_Currents	SECT29576	A0.4	B9.3		<>	<>	<>	<>	<>	<>	<>
'7D11141	Fault_Currents	_Fault Currents	SECT29576	<>	<>	<>	0	9	Wipeout ON	<>	<>	<>	<>
'7D11163	Load_Currents	_Currents	SECT28483	A6.0	B9.7		<>	<>	<>	<>	<>	<>	<>
'7D11187	Fault_Currents	_Fault Currents	SECT28483	<>	<>	<>	0	9	Wipeout ON	<>	<>	<>	<>
'7D111B6	Load_Currents	_Currents	SECT27450	A4.1	B7.8		<>	<>	<>	<>	<>	<>	<>
'7D111DA	Fault_Currents	_Fault Currents	SECT27450	<>	<>	<>	0	7	Wipeout ON	<>	<>	<>	<>
'7D301DF	Load_Currents	_Currents	SECT29989	A2.5	B3.7	C3.3	<>	<>	<>	<>	<>	<>	<>
'7D30203	Fault_Currents	_Fault Currents	SECT29989	<>	<>	<>	3	3	Wipeout ON	<>	<>	<>	<>
'7D30229	Load_Currents	_Currents	SECT28949	A2.5	B6.6		<>	<>	<>	<>	<>	<>	<>
'7D3024D	Fault_Currents	_Fault Currents	SECT28949	<>	<>	<>	0	6	Wipeout ON	<>	<>	<>	<>
'7D30274	Load_Currents	_Currents	SECT29017	A2.6	B6.7		<>	<>	<>	<>	<>	<>	<>
