HANDLE	BLOCKNAME	LAYER	DEVICE	LINE1	LINE2	LINE3	VOLTS	DROP	DIFF	DIST	{DYNPARAM} Visibility1	MAX	MIN
'7106DF7	Fault_Currents	_Fault Currents	OCR_E20-2/15.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1749	174
'7106DFC	Fault_Currents	_Fault Currents	OCR_E21-14/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1691	174
'7106E01	Fault_Currents	_Fault Currents	OCR_E21/16.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1986	174
'7106E06	Fault_Currents	_Fault Currents	span_16387	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	828	151
'7106E0B	Fault_Currents	_Fault Currents	span_14396	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1284	168
'7106E10	Fault_Currents	_Fault Currents	OCR_E/35.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1872	174
'7106E15	Fault_Currents	_Fault Currents	OCR_E5/3.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1944	173
'7106E1A	Fault_Currents	_Fault Currents	OCR_D5/2.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1817	172
'7106E1F	Fault_Currents	_Fault Currents	span_46315	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1444	170
'7106E24	Fault_Currents	_Fault Currents	OCR_D6-3/36.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	3031	175
'7106E29	Fault_Currents	_Fault Currents	OCR_D6-10/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1417	172
'7106E2E	Fault_Currents	_Fault Currents	span_21178	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	569	143
'7106E33	Fault_Currents	_Fault Currents	span_21178	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	569	143
'7106E3D	Fault_Currents	_Fault Currents	OCR_U10/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	839	155
'7106E42	Fault_Currents	_Fault Currents	OCR_D/520.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	868	165
'7106E47	Fault_Currents	_Fault Currents	OCR_D63-20/15.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	773	158
'7106E4C	Fault_Currents	_Fault Currents	OCR_D63-319/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1178	170
'7106E51	Fault_Currents	_Fault Currents	OCR_F24/14.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1076	162
'7106E56	Fault_Currents	_Fault Currents	OCR_F/105.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	754	160
'7106E5B	Fault_Currents	_Fault Currents	span_32892	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	mismatch	mismatch
'7106E60	Fault_Currents	_Fault Currents	span_14593	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	442	141
'7106E65	Fault_Currents	_Fault Currents	OCR_D63-3/2.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	666	154
'7106E6A	Fault_Currents	_Fault Currents	OCR_D63-4/1	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	669	154
'7106E6F	Fault_Currents	_Fault Currents	OCR_D6-3/70.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1221	167
'7106E74	Fault_Currents	_Fault Currents	OCR_D5/39.5	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	868	152
'7106E79	Fault_Currents	_Fault Currents	OCR_D3/38.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1461	170
'7106E7E	Fault_Currents	_Fault Currents	OCR_D3-15/.5	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1081	168
'7106E83	Fault_Currents	_Fault Currents	OCR_D5-7/33.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1208	166
'7106E88	Fault_Currents	_Fault Currents	OCR_D5-7-7/1.5	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	957	166
'7106E8D	Fault_Currents	_Fault Currents	span_12065	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	621	150
'7106E92	Fault_Currents	_Fault Currents	span_19505	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	702	153
'7106E97	Fault_Currents	_Fault Currents	span_11325	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	388	131
'7106E9C	Fault_Currents	_Fault Currents	span_16695	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	428	137
'7106EA6	Fault_Currents	_Fault Currents	span_14474	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	553	147
'7106EAB	Fault_Currents	_Fault Currents	span_16335	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	265	115
'7106EB0	Fault_Currents	_Fault Currents	OCR_D63-6/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	334	125
'7106EB5	Fault_Currents	_Fault Currents	OCR_D63/128.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	416	125
'7106EBA	Fault_Currents	_Fault Currents	span_19352	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	453	143
'7106EBF	Fault_Currents	_Fault Currents	OCR_D63-7/2.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	427	133
'7106EC4	Fault_Currents	_Fault Currents	OCR_D63-196/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	450	135
'7106ECE	Fault_Currents	_Fault Currents	OCR_D63/237.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	882	152
'7106ED3	Fault_Currents	_Fault Currents	OCR_D63-11/3.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	813	154
'7106EDD	Fault_Currents	_Fault Currents	OCR_D63-14/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1861	174
'7106EE2	Fault_Currents	_Fault Currents	span_18136	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	315	123
'7106EE7	Fault_Currents	_Fault Currents	span_15132	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	440	138
'7106EEC	Fault_Currents	_Fault Currents	span_10030	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	563	149
'7106EF1	Fault_Currents	_Fault Currents	span_20255	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	250	113
'7106EF6	Fault_Currents	_Fault Currents	OCR_C5-51/2.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	377	135
'7106EFB	Fault_Currents	_Fault Currents	OCR_C5-52/1	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	347	131
'7106F05	Fault_Currents	_Fault Currents	span_15116	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	183	97
'7106F0A	Fault_Currents	_Fault Currents	span_7536	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	298	121
'7106F0F	Fault_Currents	_Fault Currents	span_4289	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	295	120
'7106F14	Fault_Currents	_Fault Currents	OCR_C5-32/3.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	491	143
'7106F19	Fault_Currents	_Fault Currents	OCR_C5-7/2.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	687	157
'7106F1E	Fault_Currents	_Fault Currents	OCR_C5/71.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1036	163
'7106F23	Fault_Currents	_Fault Currents	OCR_C5-9/1	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1152	166
'7106F28	Fault_Currents	_Fault Currents	span_8931	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	591	151
'7106F2D	Fault_Currents	_Fault Currents	OCR_C5-8/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	882	165
'7106F32	Fault_Currents	_Fault Currents	OCR_C5-14T/3.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	972	167
'7106F37	Fault_Currents	_Fault Currents	span_5345	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	718	146
'7106F3C	Fault_Currents	_Fault Currents	span_17978	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	300	120
'7106F41	Fault_Currents	_Fault Currents	OCR_C5/195.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	mismatch	mismatch
'7106F46	Fault_Currents	_Fault Currents	OCR_C5-17/2.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1167	167
'7106F4B	Fault_Currents	_Fault Currents	OCR_C5/364.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	807	153
'7106F50	Fault_Currents	_Fault Currents	OCR_C5-T/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	646	153
'7106F55	Fault_Currents	_Fault Currents	span_15876	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	429	137
'7106F5A	Fault_Currents	_Fault Currents	span_17853	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	408	133
'7106F5F	Fault_Currents	_Fault Currents	span_56576	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	873	157
'7106F64	Fault_Currents	_Fault Currents	span_665	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	767	318
'7106F69	Fault_Currents	_Fault Currents	OCR_C5-12-4/.5	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1411	171
'7106F6E	Fault_Currents	_Fault Currents	OCR_C5-12-7/3.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1739	172
'7106F73	Fault_Currents	_Fault Currents	OCR_17A/27.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1700	172
'7106F78	Fault_Currents	_Fault Currents	OCR_C5R/44.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	842	161
'7106F7D	Fault_Currents	_Fault Currents	OCR_C5-29/17.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	2253	175
'7106F82	Fault_Currents	_Fault Currents	OCR_C5T/45.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	972	163
'7106F87	Fault_Currents	_Fault Currents	span_45316	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1048	165
'7106F8C	Fault_Currents	_Fault Currents	OCR_12E/180.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	740	156
'7106F91	Fault_Currents	_Fault Currents	span_10423	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	391	137
'7106F96	Fault_Currents	_Fault Currents	span_21369	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	717	152
'7106F9B	Fault_Currents	_Fault Currents	OCR_C5-12-9-5/2.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1737	172
'7106FA0	Fault_Currents	_Fault Currents	span_18997	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1079	162
'7106FA5	Fault_Currents	_Fault Currents	span_52214	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	705	150
'7106FAA	Fault_Currents	_Fault Currents	span_38800	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	874	337
'7106FB4	Fault_Currents	_Fault Currents	OCR_B28-67/2.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	3062	175
'7106FB9	Fault_Currents	_Fault Currents	OCR_B28/68.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	3085	175
'7106FBE	Fault_Currents	_Fault Currents	span_43585	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1174	165
'7106FC8	Fault_Currents	_Fault Currents	span_871	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1077	163
'7106FCD	Fault_Currents	_Fault Currents	OCR_B27-8-20/2.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	2054	175
'7106FD2	Fault_Currents	_Fault Currents	OCR_B27-8/40.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	2564	175
'7106FD7	Fault_Currents	_Fault Currents	OCR_B28-15/38.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	4067	462
'7106FDC	Fault_Currents	_Fault Currents	OCR_B27-8/38	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	2076	175
'7106FE1	Fault_Currents	_Fault Currents	span_1292	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1205	164
'7106FE6	Fault_Currents	_Fault Currents	OCR_16B4/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	2839	176
'7106FEB	Fault_Currents	_Fault Currents	OCR_B27/114.5	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1765	171
'7106FF0	Fault_Currents	_Fault Currents	OCR_B27-15/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1786	171
'7106FF5	Fault_Currents	_Fault Currents	span_49048	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	747	152
'7106FFA	Fault_Currents	_Fault Currents	span_17300	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	892	160
'7106FFF	Fault_Currents	_Fault Currents	span_42686	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	355	127
'7107004	Fault_Currents	_Fault Currents	span_38969	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	409	209
'7107009	Fault_Currents	_Fault Currents	span_12101	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	304	120
'710700E	Fault_Currents	_Fault Currents	OCR_B17/288.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	615	142
'7107013	Fault_Currents	_Fault Currents	OCR_B17-279/2.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	549	145
'7107018	Fault_Currents	_Fault Currents	OCR_B17-33/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	622	150
'710701D	Fault_Currents	_Fault Currents	OCR_B17-32/15.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1047	166
'7107022	Fault_Currents	_Fault Currents	OCR_B27/68.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	2234	174
'7107027	Fault_Currents	_Fault Currents	span_56558	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	956	158
'7107036	Fault_Currents	_Fault Currents	OCR_B27-30/17.5	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	4052	462
'710703B	Fault_Currents	_Fault Currents	span_1021	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	2636	173
'7107040	Fault_Currents	_Fault Currents	span_14473	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1164	163
'7107045	Fault_Currents	_Fault Currents	OCR_B303A/.5	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	2016	175
'710704F	Fault_Currents	_Fault Currents	span_5638	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	920	158
'7107054	Fault_Currents	_Fault Currents	span_12236	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	580	145
'7107059	Fault_Currents	_Fault Currents	OCR_B/323.08	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1506	172
'710705E	Fault_Currents	_Fault Currents	OCR_B240/2.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	2330	175
'7107063	Fault_Currents	_Fault Currents	OCR_B27/.5	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	2436	176
'7107068	Fault_Currents	_Fault Currents	span_8836	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	830	155
'710706D	Fault_Currents	_Fault Currents	span_49776	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	925	158
'7107077	Fault_Currents	_Fault Currents	span_19690	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	572	147
'710707C	Fault_Currents	_Fault Currents	OCR_B17/247.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1171	163
'7107081	Fault_Currents	_Fault Currents	OCR_B17-242/5.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	865	162
'7107086	Fault_Currents	_Fault Currents	span_17051	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	455	140
'710708B	Fault_Currents	_Fault Currents	OCR_B25/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1326	168
'7107090	Fault_Currents	_Fault Currents	span_53920	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	369	127
'7107095	Fault_Currents	_Fault Currents	span_13134	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	580	146
'710709A	Fault_Currents	_Fault Currents	span_1183	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	404	136
'710709F	Fault_Currents	_Fault Currents	OCR_B37/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1196	170
'71070A4	Fault_Currents	_Fault Currents	span_681	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	554	145
'71070A9	Fault_Currents	_Fault Currents	OCR_B19/2.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	612	152
'71070AE	Fault_Currents	_Fault Currents	OCR_B20/2.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	699	151
'71070B3	Fault_Currents	_Fault Currents	span_50818	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	464	263
'71070B8	Fault_Currents	_Fault Currents	OCR_B41/36.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	562	151
'71070BD	Fault_Currents	_Fault Currents	OCR_B37-16-4/23.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	563	151
'71070C2	Fault_Currents	_Fault Currents	OCR_B41/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	511	149
'71070C7	Fault_Currents	_Fault Currents	span_3654	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	337	127
'71070CC	Fault_Currents	_Fault Currents	OCR_B42/1.5	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	569	152
'71070D1	Fault_Currents	_Fault Currents	OCR_B43/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	571	152
'71070D6	Fault_Currents	_Fault Currents	OCR_R1-34/2.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	967	163
'71070E0	Fault_Currents	_Fault Currents	OCR_B17/2.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	877	160
'71070E5	Fault_Currents	_Fault Currents	span_5231	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	674	149
'71070EA	Fault_Currents	_Fault Currents	span_9865	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	279	115
'71070EF	Fault_Currents	_Fault Currents	span_19921	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	334	126
'71070F4	Fault_Currents	_Fault Currents	span_57371	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1008	165
'71070F9	Fault_Currents	_Fault Currents	OCR_B17-17/96.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	739	152
'71070FE	Fault_Currents	_Fault Currents	OCR_B17-21/26.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	948	164
'7107103	Fault_Currents	_Fault Currents	span_53819	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	427	137
'7107108	Fault_Currents	_Fault Currents	OCR_B17-23/108.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	805	163
'710710D	Fault_Currents	_Fault Currents	OCR_B17-23-7/4.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	817	164
'7107112	Fault_Currents	_Fault Currents	OCR_B17-23/110.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	811	163
'7107117	Fault_Currents	_Fault Currents	OCR_B17-17/143.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1318	171
'710711C	Fault_Currents	_Fault Currents	OCR_6D-7/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1451	172
'7107121	Fault_Currents	_Fault Currents	OCR_B17-17/96.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	739	152
'7107126	Fault_Currents	_Fault Currents	OCR_B17-17/66.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	835	156
'7107130	Fault_Currents	_Fault Currents	OCR_B17-17-39/19.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	660	153
'710713A	Fault_Currents	_Fault Currents	OCR_B13/25.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	715	156
'710713F	Fault_Currents	_Fault Currents	OCR_B13/59.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	468	139
'7107144	Fault_Currents	_Fault Currents	span_5468	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	295	119
'7107149	Fault_Currents	_Fault Currents	span_2970	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	648	145
'710714E	Fault_Currents	_Fault Currents	OCR_B/42.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1142	164
'7107153	Fault_Currents	_Fault Currents	OCR_B/52.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1227	166
'7107158	Fault_Currents	_Fault Currents	OCR_B5/31.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1712	174
'710715D	Fault_Currents	_Fault Currents	span_12898	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	354	127
'7107162	Fault_Currents	_Fault Currents	OCR_B5-29/79.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	628	147
'7107167	Fault_Currents	_Fault Currents	OCR_B5-29-53/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	899	158
'710716C	Fault_Currents	_Fault Currents	OCR_B5-29/24.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1854	174
'7107171	Fault_Currents	_Fault Currents	OCR_B5-67-B3/3	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	797	160
'7107176	Fault_Currents	_Fault Currents	OCR_B5-67/49.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	955	159
'710717B	Fault_Currents	_Fault Currents	span_3515	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	606	142
'7107180	Fault_Currents	_Fault Currents	span_4747	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	547	149
'7107185	Fault_Currents	_Fault Currents	span_5013	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	318	121
'710718A	Fault_Currents	_Fault Currents	span_56433	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	427	133
'710718F	Fault_Currents	_Fault Currents	span_9925	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	342	124
'7107194	Fault_Currents	_Fault Currents	span_58549	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	340	124
'7107199	Fault_Currents	_Fault Currents	span_10105	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	336	126
'710719E	Fault_Currents	_Fault Currents	span_21043	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1259	162
'71071A3	Voltage_Box	_Voltages	span_5527	<>	<>	<>	113.2	11.8	11.8	6.6	Wipeout On	<>	<>
'71071AA	Fault_Currents	_Fault Currents	span_5527	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	510	142
'71071AF	Voltage_Box	_Voltages	span_2569	<>	<>	<>	116.5	8.5	8.5	7.5	Wipeout On	<>	<>
'71071B6	Fault_Currents	_Fault Currents	span_2569	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	457	139
'71071BB	Voltage_Box	_Voltages	span_19544	<>	<>	<>	122.9	2.1	2.1	8.9	Wipeout On	<>	<>
'71071C2	Fault_Currents	_Fault Currents	span_19544	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	519	148
'71071C7	Voltage_Box	_Voltages	span_9458	<>	<>	<>	113.0	12.0	12.0	9.4	Wipeout On	<>	<>
'71071CE	Fault_Currents	_Fault Currents	span_9458	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	461	143
'71071D3	Fault_Currents	_Fault Currents	span_38692	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	407	252
'710AD24	Load_Currents	_Currents	span_3733	B20.0	<>	<>	<>	<>	<>	<>	<>	<>	<>
'710AD2A	Load_Currents	_Currents	OCR_C13-21-23/6	A29.7	<>	<>	<>	<>	<>	<>	<>	<>	<>
'710AD30	Load_Currents	_Currents	OCR_C22/63.0	B29.6	<>	<>	<>	<>	<>	<>	<>	<>	<>
'710AD36	Load_Currents	_Currents	span_43277	A2.0	B3.7	C4.9	<>	<>	<>	<>	<>	<>	<>
'710AD42	Load_Currents	_Currents	OCR_C13-21-1/1.0	A16.7	<>	<>	<>	<>	<>	<>	<>	<>	<>
'710AD4E	Load_Currents	_Currents	OCR_A53/85.0	A3.3	B15.9	C6.6	<>	<>	<>	<>	<>	<>	<>
'710AD54	Load_Currents	_Currents	OCR_A53-8/2.0	A11.2	<>	<>	<>	<>	<>	<>	<>	<>	<>
'710AD5A	Load_Currents	_Currents	OCR_A50A-1/1.0	A4.8	<>	<>	<>	<>	<>	<>	<>	<>	<>
'710AD60	Load_Currents	_Currents	OCR_A50A/8.0	A29.4	B23.2	C58.5	<>	<>	<>	<>	<>	<>	<>
'710AD66	Load_Currents	_Currents	OCR_A/472.0	A35.1	B-14.6	C15.5	<>	<>	<>	<>	<>	<>	<>
'710AD6C	Load_Currents	_Currents	OCR_A46/.5	A21.4	<>	<>	<>	<>	<>	<>	<>	<>	<>
'710AD72	Load_Currents	_Currents	OCR_A53-7-5A/36.0	C18.7	<>	<>	<>	<>	<>	<>	<>	<>	<>
'710AD78	Load_Currents	_Currents	OCR_A53-7/.5	C27.7	<>	<>	<>	<>	<>	<>	<>	<>	<>
'710AD7E	Load_Currents	_Currents	OCR_A/438.0	A6.7	B0.2	C11.8	<>	<>	<>	<>	<>	<>	<>
'710AD84	Load_Currents	_Currents	OCR_A52/1.0	C21.1	<>	<>	<>	<>	<>	<>	<>	<>	<>
'710AD8A	Load_Currents	_Currents	OCR_A53/1.0	B23.4	<>	<>	<>	<>	<>	<>	<>	<>	<>
'710AD90	Load_Currents	_Currents	OCR_A58-1/1.0	B24.0	<>	<>	<>	<>	<>	<>	<>	<>	<>
'710AD96	Load_Currents	_Currents	OCR_A58/1.0	B36.8	<>	<>	<>	<>	<>	<>	<>	<>	<>
'710AD9C	Load_Currents	_Currents	OCR_A53-5-4-1/1.0	A8.3	<>	<>	<>	<>	<>	<>	<>	<>	<>
'710ADA8	Load_Currents	_Currents	OCR_A53-7/146.0	A39.4	<>	<>	<>	<>	<>	<>	<>	<>	<>
'710ADAE	Load_Currents	_Currents	OCR_4D-17/40.0	C4.7	<>	<>	<>	<>	<>	<>	<>	<>	<>
'710ADB4	Load_Currents	_Currents	OCR_A63/33.0	B8.0	<>	<>	<>	<>	<>	<>	<>	<>	<>
'710ADBA	Load_Currents	_Currents	OCR_A63-5/1.0	B0.8	C0.6	<>	<>	<>	<>	<>	<>	<>	<>
'710ADC0	Load_Currents	_Currents	OCR_A63-3/1.0	B4.3	<>	<>	<>	<>	<>	<>	<>	<>	<>
'710ADC6	Load_Currents	_Currents	OCR_4D-17/1.0	A7.7	B4.4	C8.1	<>	<>	<>	<>	<>	<>	<>
'710ADCC	Load_Currents	_Currents	OCR_A65/1.0	A3.7	<>	<>	<>	<>	<>	<>	<>	<>	<>
'710ADD8	Load_Currents	_Currents	OCR_A72/1.5	A11.2	B8.9	C10.6	<>	<>	<>	<>	<>	<>	<>
'710ADDE	Load_Currents	_Currents	OCR_A43/54.0	A7.5	<>	<>	<>	<>	<>	<>	<>	<>	<>
'710ADE4	Load_Currents	_Currents	OCR_A43/58.0	C9.5	<>	<>	<>	<>	<>	<>	<>	<>	<>
'710ADEA	Load_Currents	_Currents	OCR_A/725.0	C23.4	<>	<>	<>	<>	<>	<>	<>	<>	<>
'710ADF0	Load_Currents	_Currents	OCR_A31-13/10.0	B9.8	<>	<>	<>	<>	<>	<>	<>	<>	<>
'710ADF6	Load_Currents	_Currents	OCR_A31-15/1.0	A7.4	<>	<>	<>	<>	<>	<>	<>	<>	<>
'710ADFC	Load_Currents	_Currents	OCR_A31/136.0	C11.5	<>	<>	<>	<>	<>	<>	<>	<>	<>
