HANDLE	BLOCKNAME	LAYER	DEVICE	LINE1	LINE2	LINE3	VOLTS	DROP	DIFF	DIST	{DYNPARAM} Visibility1	MAX	MIN
'7106A9B	Fault_Currents	_Fault Currents	OCR_A40/188.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	454	146
'7106AA5	Fault_Currents	_Fault Currents	OCR_A40/155.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	732	154
'7106AAA	Fault_Currents	_Fault Currents	span_57735	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	555	153
'7106AAF	Fault_Currents	_Fault Currents	OCR_A40-17/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	793	157
'7106AB4	Fault_Currents	_Fault Currents	OCR_A40/140	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	803	157
'7106AB9	Fault_Currents	_Fault Currents	span_46538	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	633	148
'7106ABE	Fault_Currents	_Fault Currents	OCR_A40-8/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	627	151
'7106AC8	Fault_Currents	_Fault Currents	OCR_A/351.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1085	164
'7106ACD	Fault_Currents	_Fault Currents	OCR_A35/.5	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	896	166
'7106AD2	Fault_Currents	_Fault Currents	OCR_A32/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1349	167
'7106AD7	Fault_Currents	_Fault Currents	OCR_A31/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	1366	168
'7106ADC	Fault_Currents	_Fault Currents	OCR_A31-7/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	528	145
'7106AE1	Fault_Currents	_Fault Currents	OCR_A31-8/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	486	142
'7106AE6	Fault_Currents	_Fault Currents	OCR_A31/136.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	493	149
'7106AEB	Fault_Currents	_Fault Currents	OCR_A31-15/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	529	153
'7106AF0	Fault_Currents	_Fault Currents	OCR_A31-15/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	529	153
'7106AF5	Fault_Currents	_Fault Currents	span_13124	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	291	122
'7106AFA	Fault_Currents	_Fault Currents	span_44559	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	298	125
'7106AFF	Fault_Currents	_Fault Currents	OCR_A40-17/70.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	405	141
'7106B04	Fault_Currents	_Fault Currents	OCR_A40-17-4/1.0	<>	<>	<>	<>	<>	<>	<>	Wipeout ON	400	140
