#                 |---------------------------------------------Existing----------------------------------------------|---------------------------------------------Proposed---------------------------------------------|
# 
# Names     Voltage     Acc Drop      Miles            I AØ             I BØ            I CØ          Min(Flt)    Max(Flt)    Voltage     Acc Drop      Miles            I AØ             I BØ            I CØ          Min(Flt)    Max(Flt) 
CONS-1030,124.2,0.8,1.3,0.0,0.0,0.9,176.0,2731.0,124.2,0.8,1.3,0.0,0.0,0.9,176.0,2731.0
CONS-1031,124.2,0.8,1.4,0.0,0.0,1.5,175.0,2644.0,124.2,0.8,1.4,0.0,0.0,1.5,175.0,2644.0
CONS-1032,124.2,0.8,1.4,0.0,0.0,0.0,175.0,2644.0,124.2,0.8,1.4,0.0,0.0,0.0,175.0,2644.0
CONS-1033,124.2,0.8,1.4,0.0,0.0,2.0,175.0,2644.0,124.2,0.8,1.4,0.0,0.0,2.0,175.0,2644.0
CONS-1034,124.2,0.8,1.4,0.0,0.0,1.2,175.0,2644.0,124.2,0.8,1.4,0.0,0.0,1.2,175.0,2644.0
CONS-1035,124.2,0.8,1.4,0.0,0.0,1.5,175.0,2562.0,124.2,0.8,1.4,0.0,0.0,1.5,175.0,2562.0
CONS-1036,124.2,0.8,1.4,0.0,0.0,1.6,175.0,2562.0,124.2,0.8,1.4,0.0,0.0,1.6,175.0,2562.0
CONS-1037,124.5,0.5,1.4,0.0,1.4,0.0,176.0,2680.0,124.5,0.5,1.4,0.0,1.4,0.0,176.0,2680.0
CONS-1038,124.5,0.5,1.4,0.0,1.6,0.0,175.0,2615.0,124.5,0.5,1.4,0.0,1.6,0.0,175.0,2615.0
CONS-1039,124.5,0.5,1.4,0.0,1.6,0.0,175.0,2615.0,124.5,0.5,1.4,0.0,1.6,0.0,175.0,2615.0
CONS-104,122.2,2.8,1.8,0.5,0.5,0.0,434.0,2372.0,123.5,1.5,1.8,0.5,0.5,0.0,434.0,2372.0
CONS-1040,124.5,0.5,1.5,0.0,1.8,0.0,175.0,2554.0,124.5,0.5,1.5,0.0,1.8,0.0,175.0,2554.0
CONS-1041,124.5,0.5,1.5,0.0,2.3,0.0,175.0,2498.0,124.5,0.5,1.5,0.0,2.3,0.0,175.0,2498.0
CONS-1042,124.5,0.5,1.5,0.0,0.7,0.0,175.0,2498.0,124.5,0.5,1.5,0.0,0.7,0.0,175.0,2498.0
CONS-1043,123.7,1.3,1.4,0.7,0.7,0.7,176.0,3203.0,123.7,1.3,1.4,0.7,0.7,0.7,176.0,3203.0
CONS-1044,124.6,0.4,0.3,0.0,1.5,0.0,466.0,5059.0,124.7,0.3,0.3,0.0,1.5,0.0,467.0,5107.0
CONS-1045,124.6,0.4,0.3,0.0,1.4,0.0,466.0,5059.0,124.7,0.3,0.3,0.0,1.4,0.0,467.0,5107.0
CONS-1046,124.6,0.4,0.3,0.0,1.4,0.0,466.0,5059.0,124.7,0.3,0.3,0.0,1.4,0.0,467.0,5107.0
CONS-1047,124.6,0.4,0.3,0.0,1.2,0.0,466.0,5059.0,124.7,0.3,0.3,0.0,1.2,0.0,467.0,5107.0
CONS-1048,124.6,0.4,0.4,0.0,1.7,0.0,464.0,4871.0,124.6,0.4,0.4,0.0,1.7,0.0,465.0,4916.0
CONS-1049,124.6,0.4,0.4,0.0,1.1,0.0,464.0,4871.0,124.6,0.4,0.4,0.0,1.1,0.0,465.0,4916.0
CONS-105,122.2,2.8,1.8,0.5,0.5,0.0,434.0,2372.0,123.5,1.5,1.8,0.5,0.5,0.0,434.0,2372.0
CONS-1050,124.6,0.4,0.4,0.0,1.5,0.0,464.0,4871.0,124.6,0.4,0.4,0.0,1.5,0.0,465.0,4916.0
CONS-1051,124.6,0.4,0.4,0.0,1.2,0.0,464.0,4871.0,124.6,0.4,0.4,0.0,1.2,0.0,465.0,4916.0
CONS-1052,124.6,0.4,0.4,0.0,1.3,0.0,464.0,4871.0,124.6,0.4,0.4,0.0,1.3,0.0,465.0,4916.0
CONS-1053,124.6,0.4,0.4,0.0,2.3,0.0,464.0,4871.0,124.6,0.4,0.4,0.0,2.3,0.0,465.0,4916.0
CONS-1054,124.6,0.4,0.4,0.0,0.0,0.0,462.0,4660.0,124.6,0.4,0.4,0.0,0.0,0.0,463.0,4703.0
CONS-1055,124.6,0.4,0.4,0.0,1.1,0.0,462.0,4660.0,124.6,0.4,0.4,0.0,1.1,0.0,463.0,4703.0
CONS-1056,124.6,0.4,0.4,0.0,1.4,0.0,462.0,4660.0,124.6,0.4,0.4,0.0,1.4,0.0,463.0,4703.0
CONS-1057,124.6,0.4,0.4,0.0,1.1,0.0,462.0,4660.0,124.6,0.4,0.4,0.0,1.1,0.0,463.0,4703.0
CONS-1058,124.6,0.4,0.4,0.0,1.2,0.0,462.0,4660.0,124.6,0.4,0.4,0.0,1.2,0.0,463.0,4703.0
CONS-1059,124.6,0.4,0.4,0.0,0.8,0.0,462.0,4660.0,124.6,0.4,0.4,0.0,0.8,0.0,463.0,4703.0
CONS-106,122.2,2.8,1.8,0.0,0.0,0.0,434.0,2372.0,123.5,1.5,1.8,0.0,0.0,0.0,434.0,2372.0
