HANDLE	BLOCKNAME	LAYER	DEVICE	MAX	MIN	{DYNPARAM} Visibility1	LINE1	LINE2	LINE3	VOLTS	DROP	DIFF	DIST
'70D7BCB	Fault_Currents	_Fault Currents	over_187	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D7E71	Load_Currents	_Currents	55-29-72	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D7EC3	Fault_Currents	_Fault Currents	55-29-72	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D7F35	Voltage_Box	_Voltages	55-29-68-ABC	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D7F83	Load_Currents	_Currents	55-30-70	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D7FD5	Fault_Currents	_Fault Currents	55-30-70	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D818D	Voltage_Box	_Voltages	55-36-174-ABC	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D81F3	Fault_Currents	_Fault Currents	59-12-431	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D822D	Load_Currents	_Currents	59-12-431	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D829C	Load_Currents	_Currents	58-19-36	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D82EE	Fault_Currents	_Fault Currents	58-19-36	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D8328	Load_Currents	_Currents	58-20-14	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D837A	Fault_Currents	_Fault Currents	58-20-14	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D83EC	Voltage_Box	_Voltages	59-24-201-ABC	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D881D	Load_Currents	_Currents	65-24-72	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D886F	Fault_Currents	_Fault Currents	65-24-72	<>	<>	14.4 Area	<>	<>	<>	<>	<>	<>	<>
'70D88E5	Load_Currents	_Currents	65-02-04	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D88FF	Fault_Currents	_Fault Currents	65-02-04	<>	<>	14.4 Area	<>	<>	<>	<>	<>	<>	<>
'70D8943	Load_Currents	_Currents	64-35-65	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D8995	Fault_Currents	_Fault Currents	64-35-65	<>	<>	14.4 Area	<>	<>	<>	<>	<>	<>	<>
'70D89D9	Load_Currents	_Currents	64-26-66	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D8A2B	Fault_Currents	_Fault Currents	64-26-66	<>	<>	14.4 Area	<>	<>	<>	<>	<>	<>	<>
'70D8AC1	Load_Currents	_Currents	over_1160	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D8ADB	Fault_Currents	_Fault Currents	over_1160	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D8B4F	Load_Currents	_Currents	36-11-48	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70D8BA1	Fault_Currents	_Fault Currents	36-11-48	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70D8BDB	Load_Currents	_Currents	36-11-16	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
