HANDLE	BLOCKNAME	LAYER	DEVICE	MAX	MIN	{DYNPARAM} Visibility1	LINE1	LINE2	LINE3	VOLTS	DROP	DIFF	DIST
'70DD7CA	Fault_Currents	_Fault Currents	span_44582	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DDB38	Load_Currents	_Currents	18-03-48	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DDB8A	Fault_Currents	_Fault Currents	18-03-48	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DDBD8	Load_Currents	_Currents	12-35-85	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DDC2A	Fault_Currents	_Fault Currents	12-35-85	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DDFDC	Voltage_Box	_Voltages	21-25-12-B	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DE034	Load_Currents	_Currents	21-24-37	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DE06E	Load_Currents	_Currents	21-24-49	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DE0C0	Fault_Currents	_Fault Currents	21-24-49	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DE112	Fault_Currents	_Fault Currents	21-24-37	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DE160	Load_Currents	_Currents	20-17-88	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DE1B2	Fault_Currents	_Fault Currents	20-17-88	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DE1F6	Load_Currents	_Currents	20-21-51	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DE248	Fault_Currents	_Fault Currents	20-21-51	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DE298	Load_Currents	_Currents	over_1119	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DE2EA	Fault_Currents	_Fault Currents	over_1119	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DE324	Load_Currents	_Currents	20-34-14	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DE376	Fault_Currents	_Fault Currents	20-34-14	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DE3BA	Load_Currents	_Currents	20-22-39	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DE40C	Fault_Currents	_Fault Currents	20-22-39	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DE450	Load_Currents	_Currents	over_1106	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DE4A2	Fault_Currents	_Fault Currents	over_1106	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DE4E8	Load_Currents	_Currents	20-26-971	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DE53A	Fault_Currents	_Fault Currents	20-26-971	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DE939	Load_Currents	_Currents	20-11-67	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DE953	Fault_Currents	_Fault Currents	20-11-67	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DE997	Load_Currents	_Currents	19-36-30	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DE9E9	Fault_Currents	_Fault Currents	19-36-30	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DEDD7	Load_Currents	_Currents	over_2748	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DEDF1	Fault_Currents	_Fault Currents	over_2748	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DEE35	Load_Currents	_Currents	span_94877	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DEE87	Fault_Currents	_Fault Currents	span_94877	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DEECB	Load_Currents	_Currents	over_1059	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DEF1D	Fault_Currents	_Fault Currents	over_1059	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DEF93	Load_Currents	_Currents	over_1062	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DEFCD	Load_Currents	_Currents	19-33-08	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DF01F	Fault_Currents	_Fault Currents	over_1062	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DF071	Fault_Currents	_Fault Currents	19-33-08	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DF0E3	Voltage_Box	_Voltages	19-33-29-ABC	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DF131	Load_Currents	_Currents	19-29-86	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DF183	Fault_Currents	_Fault Currents	19-29-86	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DF577	Load_Currents	_Currents	span_45886	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DF5B1	Load_Currents	_Currents	11-34-41	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DF5EB	Load_Currents	_Currents	11-33-42	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DF63D	Fault_Currents	_Fault Currents	span_45886	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DF68F	Fault_Currents	_Fault Currents	11-33-42	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DF6E1	Fault_Currents	_Fault Currents	11-34-41	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DFAF1	Load_Currents	_Currents	span_46918	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DFB43	Fault_Currents	_Fault Currents	span_46918	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DFB95	Fault_Currents	_Fault Currents	span_46430	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70DFBCF	Load_Currents	_Currents	span_46430	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70DFC41	Voltage_Box	_Voltages	12-25-98-ABC	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E0049	Load_Currents	_Currents	18-02-60	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E009B	Fault_Currents	_Fault Currents	18-02-60	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E00DF	Load_Currents	_Currents	18-02-28	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E0131	Fault_Currents	_Fault Currents	18-02-28	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E0195	Load_Currents	_Currents	12-14-35	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E01CF	Load_Currents	_Currents	12-28-04	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E0221	Fault_Currents	_Fault Currents	12-28-04	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E025B	Load_Currents	_Currents	over_956	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E02AD	Fault_Currents	_Fault Currents	over_956	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E0309	Fault_Currents	_Fault Currents	12-14-35	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E0345	Load_Currents	_Currents	11-05-35	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E0397	Fault_Currents	_Fault Currents	11-05-35	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E07D1	Fault_Currents	_Fault Currents	18-36-98	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E080B	Load_Currents	_Currents	18-36-98	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E084E	Load_Currents	_Currents	21-04-71	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E08A0	Fault_Currents	_Fault Currents	21-04-71	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E08E4	Load_Currents	_Currents	18-23-11	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E0936	Fault_Currents	_Fault Currents	18-23-11	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E0983	Load_Currents	_Currents	18-36-25	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E09D5	Fault_Currents	_Fault Currents	18-36-25	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E0A23	Load_Currents	_Currents	over_1052	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E0A5D	Load_Currents	_Currents	18-36-28	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E0AAF	Fault_Currents	_Fault Currents	over_1052	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E0B01	Fault_Currents	_Fault Currents	18-36-28	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E1353	Load_Currents	_Currents	18-28-38	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E13A5	Fault_Currents	_Fault Currents	18-28-38	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E13F7	Load_Currents	_Currents	18-28-52	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E1449	Fault_Currents	_Fault Currents	18-28-52	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E14C5	Voltage_Box	_Voltages	18-29-26-ABC	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E1513	Load_Currents	_Currents	span_48364	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E1565	Fault_Currents	_Fault Currents	span_48364	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E1E64	Load_Currents	_Currents	17-23-85	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E1EB6	Fault_Currents	_Fault Currents	17-23-85	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E1F2B	Load_Currents	_Currents	17-26-51	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E1F45	Fault_Currents	_Fault Currents	17-26-51	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E1FB1	Load_Currents	_Currents	17-27-85 A	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E1FCB	Fault_Currents	_Fault Currents	17-27-85 A	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E4EAB	Load_Currents	_Currents	59-13-761	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E4F02	Fault_Currents	_Fault Currents	59-13-761	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E4F4A	Load_Currents	_Currents	59-13-883	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E4F9C	Fault_Currents	_Fault Currents	59-13-883	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E4FEC	Load_Currents	_Currents	59-13-764	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E503E	Fault_Currents	_Fault Currents	59-13-764	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E510A	Load_Currents	_Currents	56-30-29	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E5124	Fault_Currents	_Fault Currents	56-30-29	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E5190	Load_Currents	_Currents	56-30-683	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E51AA	Fault_Currents	_Fault Currents	56-30-683	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E5216	Load_Currents	_Currents	56-30-456	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E5230	Fault_Currents	_Fault Currents	56-30-456	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E526A	Load_Currents	_Currents	58-17-69	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E52BC	Fault_Currents	_Fault Currents	58-17-69	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E6D4F	Load_Currents	_Currents	span_52653	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E6DA1	Fault_Currents	_Fault Currents	span_52653	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E6E1E	Voltage_Box	_Voltages	18-18-38-A	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E6E6C	Load_Currents	_Currents	18-18-60	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E6EBE	Fault_Currents	_Fault Currents	18-18-60	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E8A8F	Load_Currents	_Currents	43F-19-54	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E8ACD	Fault_Currents	_Fault Currents	43F-19-54	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E9BCB	Load_Currents	_Currents	43-19SE-356 LV	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E9BE5	Fault_Currents	_Fault Currents	43-19SE-356 LV	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E9C4B	Fault_Currents	_Fault Currents	span_85966	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E9C85	Load_Currents	_Currents	span_85966	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E9CC9	Load_Currents	_Currents	BLOCK 1 LOT 22 LV	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E9D1B	Fault_Currents	_Fault Currents	BLOCK 1 LOT 22 LV	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E9D5F	Load_Currents	_Currents	43-19NE-289	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E9DB1	Fault_Currents	_Fault Currents	43-19NE-289	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E9E30	Load_Currents	_Currents	BLOCK 1 LOT 76 LAKEWOOD	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E9E4A	Fault_Currents	_Fault Currents	BLOCK 1 LOT 76 LAKEWOOD	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E9EC0	Load_Currents	_Currents	over_2715	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E9EDA	Fault_Currents	_Fault Currents	over_2715	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E9F23	Load_Currents	_Currents	43-20NW-01	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70E9F75	Fault_Currents	_Fault Currents	43-20NW-01	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70E9FB9	Load_Currents	_Currents	43-17NW-104	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70EA00B	Fault_Currents	_Fault Currents	43-17NW-104	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70EA04F	Load_Currents	_Currents	43-17NW-153	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70EA0A1	Fault_Currents	_Fault Currents	43-17NW-153	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70EA0E5	Load_Currents	_Currents	43-17NW-89	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70EA137	Fault_Currents	_Fault Currents	43-17NW-89	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70EABA4	Load_Currents	_Currents	BL8 LOT52 LW	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70EABF6	Fault_Currents	_Fault Currents	BL8 LOT52 LW	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70EAC53	Fault_Currents	_Fault Currents	43-17SE-45 & 46	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70EAC8D	Load_Currents	_Currents	43-17SE-45 & 46	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70EB747	Load_Currents	_Currents	BL6 LOT38 LW	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70EB761	Fault_Currents	_Fault Currents	BL6 LOT38 LW	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70EB7D7	Load_Currents	_Currents	43-20NE-131	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70EB7F1	Fault_Currents	_Fault Currents	43-20NE-131	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70EB867	Load_Currents	_Currents	span_84772	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70EB881	Fault_Currents	_Fault Currents	span_84772	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70EC343	Load_Currents	_Currents	4316SE03151  04	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70EC35D	Fault_Currents	_Fault Currents	4316SE03151  04	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70EC3A1	Load_Currents	_Currents	43-08SE-213	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70EC3F3	Fault_Currents	_Fault Currents	43-08SE-213	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70EC474	Load_Currents	_Currents	43-16NW-219	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70EC48E	Fault_Currents	_Fault Currents	43-16NW-219	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70EC504	Load_Currents	_Currents	43-16NW-211	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70EC51E	Fault_Currents	_Fault Currents	43-16NW-211	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70EC5A8	Load_Currents	_Currents	43-10NW-03-130	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70EC5C2	Fault_Currents	_Fault Currents	43-10NW-03-130	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70EC644	Load_Currents	_Currents	43-10NE-393	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70EC65E	Fault_Currents	_Fault Currents	43-10NE-393	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70EC6D4	Load_Currents	_Currents	4303NW05059A04A	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70EC6EE	Fault_Currents	_Fault Currents	4303NW05059A04A	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70EC766	Load_Currents	_Currents	over_4362	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70EC780	Fault_Currents	_Fault Currents	over_4362	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70EC7C4	Load_Currents	_Currents	4303SW05002 04	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70EC816	Fault_Currents	_Fault Currents	4303SW05002 04	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70EC874	Fault_Currents	_Fault Currents	43-03SW-05-80	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70EC8AE	Load_Currents	_Currents	43-03SW-05-80	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70EC8FC	Load_Currents	_Currents	43-04SE-11	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70EC94E	Fault_Currents	_Fault Currents	43-04SE-11	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70EC992	Load_Currents	_Currents	43-05SE-89A	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70EC9E4	Fault_Currents	_Fault Currents	43-05SE-89A	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70ECA6E	Load_Currents	_Currents	42-1-27-17	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70ECA88	Fault_Currents	_Fault Currents	42-1-27-13	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70ECACD	Load_Currents	_Currents	42-1-27-38	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70ECB1F	Fault_Currents	_Fault Currents	42-1-27-38	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70ECB63	Load_Currents	_Currents	42-1-27-13	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70ECBA7	Load_Currents	_Currents	42-1-24-79	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70ECBF9	Fault_Currents	_Fault Currents	42-1-24-79	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70ECC3D	Load_Currents	_Currents	43-30-322	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70ECC8F	Fault_Currents	_Fault Currents	43-30-322	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70ECD05	Load_Currents	_Currents	42-02-81	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70ECD1F	Fault_Currents	_Fault Currents	42-02-81	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70ECD65	Load_Currents	_Currents	42-01-82	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70ECDB7	Fault_Currents	_Fault Currents	42-01-82	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70ECDFB	Load_Currents	_Currents	31-31-96	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70ECE4D	Fault_Currents	_Fault Currents	31-31-96	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70ECEA9	Fault_Currents	_Fault Currents	32C-36-40	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70ECEE3	Load_Currents	_Currents	32C-36-40	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70ECF31	Load_Currents	_Currents	31-34-71	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70ECF83	Fault_Currents	_Fault Currents	31-34-71	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70EFFB1	Load_Currents	_Currents	46-02-24	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70EFFCB	Fault_Currents	_Fault Currents	46-02-24	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70F003D	Voltage_Box	_Voltages	46-12-88-B	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70F0091	Load_Currents	_Currents	46A-14-01	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70F00E3	Fault_Currents	_Fault Currents	46A-14-01	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70F0127	Load_Currents	_Currents	46A-12-92	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70F0179	Fault_Currents	_Fault Currents	46A-12-92	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70F01C9	Load_Currents	_Currents	46-11-39	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70F021B	Fault_Currents	_Fault Currents	46-11-39	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70F02A1	Voltage_Box	_Voltages	span_74836	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70F0321	Load_Currents	_Currents	46-01-99	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70F033B	Fault_Currents	_Fault Currents	46-01-99	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70F0381	Load_Currents	_Currents	span_74765	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70F03D3	Fault_Currents	_Fault Currents	span_74765	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70F0417	Load_Currents	_Currents	span_77238	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70F0469	Fault_Currents	_Fault Currents	span_77238	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70F04EF	Voltage_Box	_Voltages	span_77282	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70F056F	Load_Currents	_Currents	41-35-33	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70F0589	Fault_Currents	_Fault Currents	41-35-33	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70F05CF	Load_Currents	_Currents	41-35-261	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70F0621	Fault_Currents	_Fault Currents	41-35-261	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70F0697	Load_Currents	_Currents	46-11-011	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70F06B1	Fault_Currents	_Fault Currents	46-11-011	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70F06FA	Load_Currents	_Currents	41-26-67	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70F074C	Fault_Currents	_Fault Currents	41-26-67	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70F087D	Load_Currents	_Currents	41-36-38	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70F0897	Fault_Currents	_Fault Currents	41-36-38	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70F08DB	Load_Currents	_Currents	41-36-43	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70F092D	Fault_Currents	_Fault Currents	41-36-43	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70F0971	Load_Currents	_Currents	42-31-32	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70F09C3	Fault_Currents	_Fault Currents	42-31-32	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70F0A07	Load_Currents	_Currents	41-25-40	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70F0A59	Fault_Currents	_Fault Currents	41-25-40	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70F0A9D	Load_Currents	_Currents	span_76592	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70F0AEF	Fault_Currents	_Fault Currents	span_76592	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70F3641	Load_Currents	_Currents	41-23-081	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70F369D	Fault_Currents	_Fault Currents	41-23-081	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70F3709	Load_Currents	_Currents	41-14-94	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70F3723	Fault_Currents	_Fault Currents	41-14-94	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70F3771	Load_Currents	_Currents	span_73942	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70F37C3	Fault_Currents	_Fault Currents	span_73942	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70F3809	Load_Currents	_Currents	41-15-003	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70F385B	Fault_Currents	_Fault Currents	41-15-003	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70F4DF4	Load_Currents	_Currents	41-15-616	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70F4E48	Fault_Currents	_Fault Currents	41-15-616	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70F4E8D	Load_Currents	_Currents	span_70398	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
'70F4EDF	Fault_Currents	_Fault Currents	span_70398	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70F4F75	Fault_Currents	_Fault Currents	41-15-378	<>	<>	Wipeout On	<>	<>	<>	<>	<>	<>	<>
'70F4FC5	Load_Currents	_Currents	41  15   40	<>	<>	<>	<>	<>	<>	<>	<>	<>	<>
